Filesystem                         Size  Used Avail Use% Mounted on
udev                               462M     0  462M   0% /dev
tmpfs                               98M 1012K   97M   2% /run
/dev/mapper/ubuntu--vg-ubuntu--lv   31G  6.6G   23G  23% /
tmpfs                              489M     0  489M   0% /dev/shm
tmpfs                              5.0M     0  5.0M   0% /run/lock
tmpfs                              489M     0  489M   0% /sys/fs/cgroup
/dev/loop0                          64M   64M     0 100% /snap/core20/1822
/dev/loop2                          68M   68M     0 100% /snap/lxd/22753
/dev/loop1                          64M   64M     0 100% /snap/core20/1828
/dev/loop3                          92M   92M     0 100% /snap/lxd/24061
/dev/loop4                          50M   50M     0 100% /snap/snapd/18357
/dev/sda2                          2.0G  136M  1.7G   8% /boot
var_www                            244G  218G   26G  90% /var/www
tmpfs                               98M     0   98M   0% /run/user/1000
